nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
College Hoops 2K7,X360,Sports,Take-Two Interactive,0.19,20-Nov-06,82.0,22.0,8.9,10.0,2K Sports
Eiyuu Densetsu: Sora no Kiseki FC,PSP,Role-Playing,Ghostlight,0.18,,,,,,
NHL 07,PSP,Sports,Electronic Arts,0.16,12-Sep-06,76.0,7.0,6.1,20.0,EA Sports
Bomberman,PSP,Puzzle,Konami Digital Entertainment,0.15,12-Sep-06,73.0,30.0,5.8,4.0,Hudson
Metal Slug Anthology,Wii,Shooter,Ignition Entertainment,0.13,14-Dec-06,73.0,38.0,7.8,18.0,Terminal Reality
Pinball Hall of Fame: The Gottlieb Collection,Wii,Misc,System 3 Arcade Software,0.13,2-Dec-09,,,tbd,,Farsight Studios
Tom Clancy's Splinter Cell: Double Agent,Wii,Action,Ubisoft,0.12,28-Nov-06,61.0,12.0,7.3,13.0,Ubisoft Shanghai
Eragon,X360,Action,Vivendi Games,0.11,14-Nov-06,48.0,32.0,5.5,22.0,Stormfront Studios
Eragon,PSP,Action,Vivendi Games,0.11,14-Nov-06,59.0,15.0,tbd,,Vivendi Games
FIFA World Cup Germany 2006,PSP,Sports,Electronic Arts,0.11,22-May-06,72.0,15.0,7.3,8.0,EA Canada
Winning Eleven: Pro Evolution Soccer 2007,X360,Sports,Konami Digital Entertainment,0.1,6-Feb-07,79.0,22.0,6.4,32.0,KCET
Bionicle Heroes,X360,Shooter,Eidos Interactive,0.06,15-Nov-06,59.0,26.0,6.4,14.0,Traveller's Tales
Enchanted Arms (JP sales),X360,Role-Playing,Ubisoft,0.02,,,,,,
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,9.03,5-Nov-07,94.0,70.0,8.4,1089.0,Infinity Ward
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,6.41,5-Nov-07,94.0,44.0,8.4,769.0,Infinity Ward
Assassin's Creed,X360,Adventure,Ubisoft,5.39,13-Nov-07,81.0,77.0,7.8,844.0,Ubisoft Montreal
Assassin's Creed,PS3,Adventure,Ubisoft,4.66,13-Nov-07,81.0,40.0,7.4,552.0,Ubisoft Montreal
BioShock,X360,Shooter,Take-Two Interactive,2.72,21-Aug-07,96.0,88.0,8.8,1893.0,"Irrational Games, 2K Marin"
Need for Speed: ProStreet,X360,Racing,Electronic Arts,2.02,15-Nov-07,72.0,42.0,7.4,66.0,EA Black Box
Need for Speed: ProStreet,PS3,Racing,Electronic Arts,1.98,13-Nov-07,73.0,26.0,5.5,34.0,EA Black Box
The Orange Box,X360,Shooter,Electronic Arts,1.74,10-Oct-07,96.0,54.0,8.9,679.0,Valve Software
Pro Evolution Soccer 2008,PS3,Sports,Konami Digital Entertainment,1.58,11-Mar-08,74.0,19.0,6.3,43.0,Konami
WWE SmackDown vs Raw 2008,X360,Fighting,THQ,1.41,13-Nov-07,71.0,41.0,6.9,40.0,Yuke's
WWE SmackDown vs Raw 2008,PS3,Fighting,THQ,1.29,13-Nov-07,74.0,27.0,7,30.0,Yuke's
Tom Clancy's Rainbow Six: Vegas,PS3,Shooter,Ubisoft,1.22,26-Jun-07,86.0,32.0,7.3,61.0,Ubisoft Montreal
WWE SmackDown vs Raw 2008,PSP,Fighting,THQ,1.17,13-Nov-07,68.0,11.0,8.4,11.0,Yuke's
Medal of Honor Heroes 2,PSP,Shooter,Electronic Arts,1.12,13-Nov-07,69.0,20.0,7.5,23.0,EA LA
Need for Speed: ProStreet,Wii,Racing,Electronic Arts,1.07,13-Nov-07,61.0,16.0,6.9,14.0,EA Games
Pro Evolution Soccer 2008,X360,Sports,Konami Digital Entertainment,1.07,11-Mar-08,76.0,29.0,7.8,33.0,Konami
Virtua Tennis 3,PS3,Sports,Sega,1.02,20-Mar-07,80.0,35.0,7.9,27.0,Sega AM3
The Orange Box,PS3,Shooter,Electronic Arts,1.0,11-Dec-07,89.0,21.0,8.3,150.0,EA Games
WWE SmackDown vs Raw 2008,Wii,Fighting,THQ,0.97,13-Nov-07,59.0,13.0,5.9,18.0,Yuke's
Tomb Raider: Anniversary,Wii,Action,Eidos Interactive,0.83,13-Nov-07,73.0,22.0,6.9,20.0,Crystal Dynamics
Blazing Angels: Squadrons of WWII,Wii,Simulation,Ubisoft,0.81,20-Mar-07,57.0,11.0,6.8,27.0,Ubisoft
Stranglehold,X360,Shooter,Midway Games,0.78,5-Sep-07,77.0,59.0,7.7,81.0,Midway
Kane & Lynch: Dead Men,X360,Shooter,Eidos Interactive,0.75,,,,,,
Kane & Lynch: Dead Men,PS3,Shooter,Eidos Interactive,0.73,,,,,,
Tom Clancy's Rainbow Six: Vegas,PSP,Shooter,Ubisoft,0.72,12-Jun-07,60.0,20.0,7,28.0,Ubisoft Montreal
Pirates of the Caribbean: At World's End,PS3,Action,Disney Interactive Studios,0.7,22-May-07,55.0,24.0,6.9,15.0,Eurocom Entertainment Software
Skate,X360,Sports,Electronic Arts,0.69,14-Sep-07,86.0,59.0,8.4,124.0,EA Black Box
Spider-Man 3,PS3,Platform,Activision,0.66,4-May-07,60.0,33.0,7.2,31.0,Treyarch
Unreal Tournament III,PS3,Shooter,Midway Games,0.63,11-Dec-07,86.0,42.0,7.9,108.0,Epic Games
MX vs. ATV Untamed,PSP,Racing,THQ,0.63,17-Dec-07,59.0,12.0,tbd,,Rainbow Studios
NBA Live 08,PS3,Sports,Electronic Arts,0.62,1-Oct-07,73.0,28.0,6.8,10.0,EA Canada
Cabela's Big Game Hunter (2008),Wii,Sports,Activision,0.62,13-Nov-07,,,tbd,,MagicWand
Sega Rally Revo,PS3,Racing,Sega,0.61,9-Oct-07,75.0,40.0,6.3,15.0,SEGA Racing Studio
MX vs. ATV Untamed,X360,Racing,THQ,0.6,17-Dec-07,70.0,43.0,6.9,16.0,Rainbow Studios
Crash of the Titans,PSP,Action,Vivendi Games,0.59,16-Oct-07,,,8.2,13.0,SuperVillain Studios
Spider-Man 3,X360,Platform,Activision,0.55,4-May-07,63.0,61.0,7.1,47.0,Treyarch
Tomb Raider: Anniversary,PSP,Action,Eidos Interactive,0.54,9-Aug-07,78.0,32.0,8.2,16.0,Crystal Dynamics
NBA Live 08,X360,Sports,Electronic Arts,0.5,1-Oct-07,73.0,38.0,5.4,18.0,EA Canada
Test Drive Unlimited,PSP,Racing,Atari,0.48,21-Mar-07,80.0,18.0,7.3,27.0,Melbourne House
NBA Street Homecourt,X360,Sports,Electronic Arts,0.48,20-Feb-07,80.0,42.0,8.3,26.0,EA Canada
Spider-Man 3,Wii,Platform,Activision,0.47,4-May-07,53.0,39.0,5.5,26.0,Vicarious Visions
Dynasty Warriors Gundam,PS3,Action,Tecmo Koei,0.46,28-Aug-07,60.0,29.0,6.9,16.0,"Koei, Omega Force"
The Sims 2: Pets,Wii,Simulation,Electronic Arts,0.46,12-Jun-07,65.0,15.0,tbd,,Maxis
The Golden Compass,X360,Action,Sega,0.44,4-Dec-07,41.0,25.0,3,12.0,Shiny Entertainment
Pirates of the Caribbean: At World's End,Wii,Action,Disney Interactive Studios,0.44,22-May-07,53.0,17.0,7.2,17.0,Eurocom Entertainment Software
Harry Potter and the Order of the Phoenix,Wii,Adventure,Electronic Arts,0.44,25-Jun-07,69.0,34.0,7.3,27.0,EA Games
Crash of the Titans,Wii,Action,Vivendi Games,0.44,4-Oct-07,69.0,16.0,7,11.0,Radical Entertainment
Sega Rally Revo,X360,Racing,Sega,0.43,9-Oct-07,77.0,42.0,7.2,26.0,SEGA Racing Studio
Thrillville: Off the Rails,Wii,Strategy,LucasArts,0.42,9-Oct-07,70.0,14.0,7,12.0,Frontier Developments
Cars: Mater-National Championship,PS3,Racing,THQ,0.41,30-Oct-07,63.0,8.0,4.8,4.0,Rainbow Studios
Pirates of the Caribbean: At World's End,PSP,Action,Disney Interactive Studios,0.4,22-May-07,61.0,5.0,7.2,9.0,Eurocom Entertainment Software
MX vs. ATV Untamed,PS3,Racing,THQ,0.4,17-Dec-07,67.0,33.0,6.1,8.0,Rainbow Studios
Medal of Honor Heroes 2,Wii,Shooter,Electronic Arts,0.4,13-Nov-07,73.0,37.0,7.6,81.0,EA Canada
Beowulf: The Game,X360,Action,Ubisoft,0.4,13-Nov-07,51.0,23.0,4.5,22.0,Ubisoft Shanghai
TMNT,X360,Action,Ubisoft,0.39,20-Mar-07,58.0,31.0,6.4,25.0,Ubisoft Montreal
TimeShift,X360,Shooter,Vivendi Games,0.39,30-Oct-07,70.0,58.0,7.9,58.0,Saber Interactive
Tomb Raider: Anniversary,X360,Action,Eidos Interactive,0.38,23-Oct-07,77.0,33.0,7.9,15.0,Crystal Dynamics
Brunswick Pro Bowling,Wii,Sports,505 Games,0.37,28-Aug-07,52.0,11.0,5.4,23.0,Point of View
The BIGS,Wii,Sports,Take-Two Interactive,0.36,25-Jun-07,66.0,15.0,7.1,14.0,Blue Castle Games
Harry Potter and the Order of the Phoenix,PSP,Adventure,Electronic Arts,0.36,25-Jun-07,52.0,11.0,8.1,18.0,EA Games
Skate,PS3,Sports,Electronic Arts,0.34,24-Sep-07,85.0,31.0,8.3,47.0,EA Black Box
Bee Movie Game,Wii,Action,Activision,0.33,5-Nov-07,62.0,16.0,tbd,,Smart Bomb Interactive
Conan,PS3,Action,THQ,0.32,23-Oct-07,69.0,35.0,7.2,34.0,Nihilistic
Pirates of the Caribbean: At World's End,X360,Action,Disney Interactive Studios,0.32,22-May-07,58.0,42.0,5.3,21.0,Eurocom Entertainment Software
NBA Live 08,PSP,Sports,Electronic Arts,0.3,1-Oct-07,73.0,11.0,6,4.0,EA Canada
Crash of the Titans,X360,Action,Vivendi Games,0.3,4-Oct-07,65.0,25.0,7.1,24.0,Radical Entertainment
Puzzle Quest: Challenge of the Warlords,Wii,Puzzle,D3Publisher,0.29,30-Nov-07,71.0,17.0,6.2,5.0,Vicious Cycle
Spider-Man: Friend or Foe,X360,Action,Activision,0.28,2-Oct-07,60.0,51.0,6.1,24.0,Next Level Games
Prince of Persia: Rival Swords,Wii,Action,Ubisoft,0.28,3-Apr-07,70.0,30.0,7.8,19.0,Ubisoft Montreal
Stranglehold,PS3,Shooter,Midway Games,0.28,29-Oct-07,77.0,22.0,8,36.0,Midway
The Golden Compass,PS3,Action,Sega,0.27,4-Dec-07,40.0,17.0,3.8,12.0,Shiny Entertainment
Spider-Man 3,PSP,Platform,Activision,0.27,16-Oct-07,52.0,7.0,7.9,7.0,Treyarch
Harry Potter and the Order of the Phoenix,X360,Adventure,Electronic Arts,0.26,25-Jun-07,68.0,38.0,6.5,16.0,EA Games
Bladestorm: The Hundred Years' War,PS3,Action,Tecmo Koei,0.26,6-Nov-07,58.0,23.0,8.1,26.0,Omega Force
The BIGS,X360,Sports,Take-Two Interactive,0.26,25-Jun-07,79.0,23.0,8.9,20.0,Blue Castle Games
TMNT,Wii,Action,Ubisoft,0.25,20-Mar-07,60.0,17.0,6.2,9.0,Ubisoft Montreal
Sega Rally Revo,PSP,Racing,Sega,0.25,9-Oct-07,74.0,14.0,7.7,6.0,Bugbear
NHL 08,PS3,Action,Electronic Arts,0.25,11-Sep-07,86.0,23.0,7.2,22.0,EA Canada
Avatar: The Last Airbender - The Burning Earth,Wii,Action,THQ,0.24,,,,,,
NHL 08,X360,Action,Electronic Arts,0.23,12-Sep-07,85.0,44.0,8.4,41.0,EA Canada
Tom Clancy's Splinter Cell: Double Agent,PS3,Action,Ubisoft,0.23,30-Mar-07,78.0,17.0,6.7,26.0,Ubisoft Shanghai
Brunswick Pro Bowling,PSP,Sports,505 Games,0.21,28-Aug-07,,,7.3,4.0,Point of View
Harry Potter and the Order of the Phoenix,PS3,Adventure,Electronic Arts,0.2,25-Jun-07,67.0,35.0,6.4,22.0,EA Games
NCAA March Madness 08,X360,Sports,Electronic Arts,0.2,11-Dec-07,69.0,22.0,tbd,,EA Canada
Monster Jam,X360,Racing,Activision,0.19,13-Nov-07,43.0,9.0,5.5,4.0,Torus Games
Warriors Orochi,X360,Action,Tecmo Koei,0.18,18-Sep-07,53.0,27.0,7.5,10.0,Omega Force
Soldier of Fortune: Payback,X360,Shooter,Activision,0.18,13-Nov-07,50.0,35.0,5.6,20.0,Cauldron Ltd.
Disney's Meet the Robinsons,Wii,Action,Disney Interactive Studios,0.18,27-Mar-07,62.0,11.0,6.3,4.0,Buena Vista Games
Dynasty Warriors Gundam,X360,Action,Namco Bandai Games,0.18,28-Aug-07,55.0,34.0,6.8,20.0,"Omega Force, Koei"
Spider-Man: Friend or Foe,PSP,Action,Activision,0.18,2-Oct-07,58.0,7.0,3.6,5.0,Artificial Mind and Movement
Conan,X360,Action,THQ,0.17,23-Oct-07,69.0,49.0,7.4,62.0,Nihilistic
College Hoops 2K7,PS3,Sports,Take-Two Interactive,0.17,13-Mar-07,81.0,9.0,6.9,7.0,2K Sports
Surf's Up,Wii,Sports,Ubisoft,0.17,30-May-07,64.0,9.0,tbd,,Ubisoft Montreal
Sid Meier's Pirates!,PSP,Strategy,Take-Two Interactive,0.17,,,,,,
Monster Jam,Wii,Racing,Activision,0.16,19-Nov-07,,,7.8,8.0,Activision
The BIGS,PS3,Sports,Take-Two Interactive,0.16,25-Jun-07,77.0,19.0,6.9,10.0,Blue Castle Games
Bomberman Land,Wii,Misc,Rising Star Games,0.16,29-Jan-08,57.0,23.0,7.1,7.0,Racjin
Bee Movie Game,X360,Action,Activision,0.16,30-Oct-07,71.0,25.0,5.5,8.0,Beenox
Beowulf: The Game,PS3,Action,Ubisoft,0.15,13-Nov-07,51.0,18.0,4.9,12.0,Ubisoft
TimeShift,PS3,Shooter,Vivendi Games,0.15,19-Nov-07,70.0,16.0,6.9,19.0,Saber Interactive
NBA Live 08,Wii,Sports,Electronic Arts,0.15,1-Oct-07,52.0,11.0,7.1,21.0,EA Canada
Hot Wheels: Beat That!,X360,Racing,Activision,0.14,,,,,,
Cars: Mater-National Championship,X360,Racing,THQ,0.14,29-Oct-07,58.0,9.0,7.4,5.0,Rainbow Studios
Thrillville: Off the Rails,X360,Strategy,LucasArts,0.14,9-Oct-07,73.0,24.0,7.4,10.0,Frontier Developments
Ultimate Board Game Collection,Wii,Misc,Xplosiv,0.14,14-Aug-07,,,tbd,,Jack of All Games
Spider-Man: Friend or Foe,Wii,Action,Activision,0.14,2-Oct-07,59.0,29.0,8,6.0,Next Level Games
Fantastic Four: Rise of the Silver Surfer,PS3,Action,Take-Two Interactive,0.14,15-Jun-07,47.0,26.0,5.3,6.0,Visual Concepts
Hot Wheels: Beat That!,Wii,Racing,Activision,0.13,30-Sep-07,,,5.3,9.0,Eutechnyx
NBA Street Homecourt,PS3,Sports,Electronic Arts,0.13,6-Mar-07,81.0,31.0,6.7,14.0,EA Canada
NBA 08,PS3,Sports,Sony Computer Entertainment,0.13,12-Oct-07,63.0,37.0,6,4.0,SCEA San Diego Studios
Soldier of Fortune: Payback,PS3,Shooter,Activision,0.13,19-Nov-07,50.0,14.0,5,11.0,Cauldron Ltd.
Blazing Angels 2: Secret Missions of WWII,PS3,Simulation,Ubisoft,0.12,6-Nov-07,70.0,10.0,7.2,12.0,Ubisoft Romania
Blazing Angels 2: Secret Missions of WWII,X360,Simulation,Ubisoft,0.12,18-Sep-07,72.0,24.0,8.3,9.0,Ubisoft Romania
Avatar: The Last Airbender - The Burning Earth,X360,Action,THQ,0.12,,,,,,
History Channel: Battle for the Pacific,Wii,Shooter,Activision,0.11,,,,,,
Surf's Up,PSP,Sports,Ubisoft,0.11,30-May-07,,,tbd,,Ubisoft Montreal
The BIGS,PSP,Sports,Take-Two Interactive,0.11,25-Jun-07,72.0,9.0,tbd,,Blue Castle Games
TMNT,PSP,Action,Ubisoft,0.1,20-Mar-07,37.0,7.0,3.1,7.0,Ubisoft Montreal
Prince of Persia: Rival Swords,PSP,Action,Ubisoft,0.1,3-Apr-07,74.0,16.0,8.7,12.0,"Pipeworks Software, Inc."
Surf's Up,X360,Sports,Ubisoft,0.1,30-May-07,61.0,15.0,6.1,9.0,Ubisoft
Fantastic Four: Rise of the Silver Surfer,X360,Action,Take-Two Interactive,0.09,15-Jun-07,45.0,30.0,3.9,12.0,Visual Concepts
Bladestorm: The Hundred Years' War,X360,Action,Tecmo Koei,0.09,6-Nov-07,63.0,26.0,7.7,11.0,Omega Force
Thrillville: Off the Rails,PSP,Strategy,LucasArts,0.09,9-Oct-07,72.0,7.0,tbd,,Frontier Developments
NCAA March Madness 08,PS3,Sports,Electronic Arts,0.08,11-Dec-07,67.0,15.0,3.8,4.0,EA Canada
CSI: Hard Evidence,X360,Adventure,Ubisoft,0.08,,,,,,
Beowulf: The Game,PSP,Action,Ubisoft,0.08,4-Dec-07,44.0,4.0,tbd,,Virtuos
Disney's Meet the Robinsons,X360,Action,Disney Interactive Studios,0.07,27-Mar-07,65.0,21.0,tbd,,Buena Vista Games
Ultimate Board Game Collection,PSP,Misc,Xplosiv,0.07,1-May-07,57.0,6.0,tbd,,Jack of All Games
The Legend of Heroes VI: Sora no Kiseki Second Chapter,PSP,Role-Playing,Falcom Corporation,0.06,,,,,,
Legend of the Dragon,Wii,Fighting,Game Factory,0.06,1-May-07,37.0,14.0,4.8,5.0,Neko Entertainment
Bomberman Land,PSP,Misc,Hudson Entertainment,0.06,29-Jan-08,55.0,14.0,tbd,,Racjin
Record of Agarest War,PS3,Role-Playing,Ghostlight,0.06,27-Apr-10,67.0,7.0,7.3,26.0,Compile Heart
Cabela's Big Game Hunter (2008),X360,Sports,Activision Value,0.05,7-Nov-07,51.0,5.0,tbd,,FUN Labs
UEFA Champions League 2006-2007,X360,Sports,Electronic Arts,0.05,20-Mar-07,72.0,27.0,7.9,8.0,EA Canada
History Channel: Battle for the Pacific,X360,Shooter,Activision,0.05,,,,,,
Castle of Shikigami III,Wii,Shooter,PQube,0.04,13-May-08,67.0,9.0,7.5,8.0,Alfa System
Fantastic Four: Rise of the Silver Surfer,Wii,Action,Take-Two Interactive,0.04,15-Jun-07,39.0,16.0,4.9,12.0,7 Studios
Surf's Up,PS3,Sports,Ubisoft,0.04,30-May-07,59.0,8.0,5.1,7.0,Ubisoft Montreal
Enchanted Arms (JP sales),PS3,Role-Playing,Ubisoft,0.04,,,,,,
Metal Slug Anthology,PSP,Shooter,Ignition Entertainment,0.04,20-Feb-07,78.0,26.0,7.4,18.0,Terminal Reality
Virtua Tennis 3,PSP,Sports,Sega,0.03,26-Mar-07,79.0,17.0,8.4,9.0,Sumo Digital
Bionicle Heroes,Wii,Shooter,Eidos Interactive,0.03,24-Apr-07,52.0,7.0,5,4.0,Traveller's Tales
Legend of the Dragon,PSP,Fighting,Game Factory,0.03,29-May-07,38.0,12.0,tbd,,Neko Entertainment
NBA 08,PSP,Sports,Sony Computer Entertainment,0.03,12-Oct-07,75.0,18.0,7.4,7.0,SCEA
Virtua Tennis 3,X360,Sports,Sega,0.03,20-Mar-07,80.0,34.0,7,22.0,Sumo Digital
UEFA Champions League 2006-2007,PSP,Sports,Electronic Arts,0.01,20-Mar-07,71.0,14.0,tbd,,EA Canada
Puzzle Quest: Challenge of the Warlords,PSP,Puzzle,D3Publisher,0.01,20-Mar-07,84.0,32.0,7.8,17.0,"Vicious Cycle, Infinite Interactive"
Castle of Shikigami III,X360,Shooter,Arc System Works,0.01,,,,,,
Grand Theft Auto IV,X360,Action,Take-Two Interactive,10.63,29-Apr-08,98.0,86.0,7.9,2565.0,Rockstar North
Grand Theft Auto IV,PS3,Action,Take-Two Interactive,10.05,29-Apr-08,98.0,64.0,7.4,2120.0,Rockstar North
Call of Duty: World at War,X360,Shooter,Activision,7.05,10-Nov-08,84.0,84.0,7.4,470.0,Treyarch
LittleBigPlanet,PS3,Platform,Sony Computer Entertainment,5.4,27-Oct-08,95.0,85.0,6.7,4978.0,"Media Molecule, SCE/WWS"
Call of Duty: World at War,PS3,Shooter,Activision,5.11,10-Nov-08,85.0,45.0,7.3,289.0,Treyarch
Fallout 3,X360,Role-Playing,Bethesda Softworks,4.27,28-Oct-08,93.0,84.0,8.6,1305.0,Bethesda Game Studios
LEGO Indiana Jones: The Original Adventures,X360,Adventure,Activision,3.66,3-Jun-08,77.0,60.0,7.4,42.0,Traveller's Tales
Guitar Hero: World Tour,Wii,Misc,Activision,3.59,26-Oct-08,86.0,18.0,7.6,67.0,Vicarious Visions
Fallout 3,PS3,Role-Playing,Bethesda Softworks,3.34,28-Oct-08,90.0,57.0,8,652.0,Bethesda Game Studios
LEGO Batman: The Videogame,X360,Adventure,Warner Bros. Interactive Entertainment,3.15,23-Sep-08,76.0,49.0,7.7,52.0,Traveller's Tales
Kung Fu Panda,X360,Platform,Activision,3.02,3-Jun-08,75.0,42.0,7.6,23.0,"Luxoflux, Inc."
Sega Superstars Tennis,X360,Sports,Sega,2.87,18-Mar-08,67.0,45.0,6.4,13.0,Sumo Digital
Star Wars: The Force Unleashed,X360,Action,LucasArts,2.61,16-Sep-08,73.0,74.0,6.6,313.0,LucasArts
Guitar Hero: World Tour,X360,Misc,Activision,2.58,26-Oct-08,85.0,67.0,6.3,154.0,Neversoft Entertainment
FIFA Soccer 09,PS3,Sports,Electronic Arts,2.53,13-Oct-08,87.0,42.0,7.5,93.0,EA Canada
Pure,X360,Racing,Disney Interactive Studios,2.44,23-Sep-08,85.0,55.0,7.9,75.0,Black Rock Studio
Tom Clancy's Rainbow Six: Vegas 2,X360,Shooter,Ubisoft,2.37,18-Mar-08,82.0,66.0,7.8,154.0,Ubisoft Montreal
