nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Just Dance Wii 2,Wii,Action,Nintendo,0.27,,,,,,
New Play Control! Pikmin 2,Wii,Strategy,Nintendo,0.51,,,,,,
Burnout Paradise,PS3,Racing,Electronic Arts,1.83,22-Jan-08,87.0,55.0,7.6,371.0,Criterion Games
Scene It? Bright Lights! Big Screen!,Wii,Misc,Warner Bros. Interactive Entertainment,0.13,,,,,,
NHL 10,PS3,Sports,Electronic Arts,0.55,15-Sep-09,88.0,35.0,8,33.0,EA Canada
Armored Core: Last Raven Portable,PSP,Simulation,From Software,0.03,3-May-10,,,tbd,,From Software
NHL 08,PS3,Action,Electronic Arts,0.25,11-Sep-07,86.0,23.0,7.2,22.0,EA Canada
Football Manager 2012,PSP,Sports,Sega,0.11,,,,,,
Super Street Fighter IV,PS3,Fighting,Capcom,1.33,27-Apr-10,92.0,58.0,7.7,154.0,Capcom
Assassin's Creed IV: Black Flag,PS3,Action,Ubisoft,2.59,29-Oct-13,88.0,36.0,8.1,548.0,Ubisoft
Little League World Series Baseball 2010,PS3,Sports,Activision,0.05,13-Jul-10,61.0,4.0,tbd,,Now Production
Fight Night Round 3,PS3,Fighting,Electronic Arts,1.64,5-Dec-06,83.0,37.0,7.9,20.0,EA Chicago
Active Life: Magical Carnival,Wii,Misc,Namco Bandai Games,0.04,25-Oct-11,,,tbd,,Bandai Namco Games
Major League Baseball 2K6,X360,Sports,Spike,0.37,10-Apr-06,66.0,22.0,3.9,37.0,Kush Games
Dragon Ball Heroes: Ultimate Mission,3DS,Misc,Namco Bandai Games,0.27,,,,,,
NBA 2K13,WiiU,Action,Take-Two Interactive,0.04,18-Nov-12,85.0,17.0,7,28.0,Visual Concepts
Hoppechan: Tsukutte! Asonde! Punipuni Town!!,3DS,Action,Nippon Columbia,0.12,,,,,,
NCAA Football 09,PS3,Sports,Electronic Arts,0.57,15-Jul-08,81.0,20.0,7.3,25.0,EA Tiburon
Tenjin Ranman: Happy GO Lucky!!,PSP,Adventure,Russel,0.01,,,,,,
Bleach: Heat the Soul 3,PSP,Fighting,Sony Computer Entertainment,0.07,,,,,,
Winning Eleven: Pro Evolution Soccer 2007,X360,Sports,Konami Digital Entertainment,0.1,6-Feb-07,79.0,22.0,6.4,32.0,KCET
New Super Mario Bros. 2,3DS,Platform,Nintendo,7.28,19-Aug-12,78.0,70.0,7.1,247.0,Nintendo
Rocky Balboa,PSP,Sports,Ubisoft,0.1,13-Mar-07,58.0,17.0,9,6.0,Ubisoft
Majin and the Forsaken Kingdom,PS3,Adventure,Namco Bandai Games,0.25,23-Nov-10,72.0,49.0,7.5,25.0,Game Republic
Jurassic: The Hunted,PS3,Shooter,Activision,0.15,3-Nov-09,,,tbd,,Activision
No More Heroes,Wii,Action,Rising Star Games,0.54,22-Jan-08,83.0,64.0,8.5,215.0,Grasshopper Manufacture
SpongeBob's Truth or Square (US sales),PSP,Action,THQ,0.39,,,,,,
Shadow of the Colossus,PS3,Adventure,Sony Computer Entertainment,0.04,17-Jan-12,,,8.7,28.0,Bluepoint Games
FIFA World Cup Germany 2006,X360,Sports,Electronic Arts,0.48,24-Apr-06,72.0,49.0,6.6,33.0,EA Canada
Jillian Michaels' Fitness Adventure,X360,Misc,505 Games,0.18,8-Nov-11,,,tbd,,"n-Space, MicroProse"
MotorStorm: Arctic Edge,PSP,Racing,Sony Computer Entertainment,0.99,29-Sep-09,79.0,58.0,8.8,26.0,Bigbig Studios
NFL Head Coach 09,X360,Sports,Electronic Arts,0.1,3-Sep-08,67.0,14.0,8.7,26.0,EA Tiburon
JASF: Jane's Advanced Strike Fighters,PS3,Simulation,Deep Silver,0.09,15-Nov-11,41.0,7.0,3.1,7.0,Trickstar Games
Metal Slug Anthology,Wii,Shooter,Ignition Entertainment,0.13,14-Dec-06,73.0,38.0,7.8,18.0,Terminal Reality
History Civil War: Secret Missions,X360,Shooter,Activision,0.13,,,,,,
Chou no Doku: Hana no Kusari - Taishou Tsuyakoi Ibun,PSP,Adventure,Prototype,0.01,,,,,,
Horrid Henry: Missions of Mischief,Wii,Adventure,SouthPeak Games,0.01,TBA,,,,,Asylum Entertainment
Transformers: Fall of Cybertron,X360,Action,Activision,0.35,21-Aug-12,79.0,52.0,8.4,138.0,High Moon Studios
Gretzky NHL 06,PSP,Sports,Sony Computer Entertainment,0.14,4-Oct-05,65.0,22.0,tbd,,Page 44 Studios
BioShock,X360,Shooter,Take-Two Interactive,2.72,21-Aug-07,96.0,88.0,8.8,1893.0,"Irrational Games, 2K Marin"
Yu-Gi-Oh! GX: Tag Force 3,PSP,Strategy,Konami Digital Entertainment,0.21,,,,,,
NBA Street: Showdown,PSP,Sports,Electronic Arts,0.22,27-Apr-05,75.0,25.0,9,13.0,EA Canada
Grand Theft Auto IV,PS3,Action,Take-Two Interactive,10.05,29-Apr-08,98.0,64.0,7.4,2120.0,Rockstar North
Armored Core: Verdict Day,X360,Action,From Software,0.01,24-Sep-13,65.0,8.0,6.7,7.0,From Software
Dead Space,PS3,Action,Electronic Arts,1.9,13-Oct-08,88.0,67.0,8.8,394.0,EA Redwood Shores
Shin Sangoku Musou 4 Special,X360,Action,Tecmo Koei,0.01,,,,,,
GTI Club: Supermini Festa!,Wii,Racing,Konami Digital Entertainment,0.02,,,,,,
Ratchet & Clank Future: Tools of Destruction,PS3,Platform,Sony Computer Entertainment,2.47,,,,,,
Valkyria Chronicles III: Unrecorded Chronicles,PSP,Role-Playing,Sega,0.21,Canceled,,,,,Sega
Gundam Battle Universe,PSP,Fighting,Namco Bandai Games,0.26,,,,,,
Soldier of Fortune: Payback,X360,Shooter,Activision,0.18,13-Nov-07,50.0,35.0,5.6,20.0,Cauldron Ltd.
Hell's Kitchen: The Game,Wii,Simulation,Ubisoft,0.33,,,,,,
Need for Speed: Shift 2 Unleashed,X360,Racing,Electronic Arts,0.41,,,,,,
Jumper: Griffin's Story,Wii,Action,Eidos Interactive,0.08,12-Feb-08,28.0,5.0,2.5,11.0,Collision Studios
LEGO Harry Potter: Years 5-7,X360,Action,Warner Bros. Interactive Entertainment,0.79,11-Nov-11,77.0,35.0,7.8,33.0,Traveller's Tales
Brunswick Pro Bowling,PS3,Sports,505 Games,0.14,22-Sep-10,47.0,6.0,tbd,,Farsight Studios
Monopoly Streets,PS3,Misc,Electronic Arts,0.33,26-Oct-10,64.0,11.0,6.1,9.0,Electronic Arts
Trauma Center: Second Opinion,Wii,Simulation,Nintendo,0.33,14-Nov-06,80.0,49.0,8,47.0,Atlus
Condemned 2: Bloodshot,X360,Shooter,Sega,0.6,11-Mar-08,80.0,76.0,8.6,150.0,Monolith Productions
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,Fighting,Atari,0.15,24-Jun-08,64.0,20.0,7.8,13.0,CyberConnect2
IL-2 Sturmovik: Birds of Prey,PS3,Simulation,505 Games,0.65,8-Sep-09,81.0,28.0,7,17.0,Gaijin Entertainment
Blokus Portable: Steambot Championship,PSP,Puzzle,Majesco Entertainment,0.03,3-Mar-08,51.0,5.0,tbd,,Irem
Hana to Ikimo no Rittai Zukan,3DS,Misc,Nintendo,0.04,,,,,,
Portal 2,X360,Shooter,Valve Software,1.78,19-Apr-11,95.0,66.0,8.4,850.0,Valve Software
Deus Ex: Human Revolution,WiiU,Shooter,Square Enix,0.04,,,,,,
Assassin's Creed IV: Black Flag,PS4,Action,Ubisoft,1.31,12-Nov-13,83.0,28.0,7.8,480.0,Ubisoft
Winning Post 7 2010,PS3,Sports,Tecmo Koei,0.07,,,,,,
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,Misc,Ubisoft,0.03,,,,,,
Kamigami no Asobi,PSP,Adventure,Broccoli,0.02,,,,,,
Pro Evolution Soccer 2010,Wii,Sports,Konami Digital Entertainment,0.5,10-Nov-09,82.0,13.0,8.8,15.0,Konami
Durarara!! 3way Standoff: Alley,PSP,Adventure,Kadokawa Shoten,0.04,,,,,,
Jissen Pachislot Hisshouhou! Hokuto no Ken Portable SE,PSP,Misc,Sega,0.06,,,,,,
NBA Live 08,PSP,Sports,Electronic Arts,0.3,1-Oct-07,73.0,11.0,6,4.0,EA Canada
Dragon Ball Z: Shin Budokai - Another Road,PSP,Fighting,Atari,0.43,,,,,,
PlayStation Move Heroes,PS3,Platform,Sony Computer Entertainment,0.14,22-Mar-11,53.0,39.0,6.2,15.0,Nihilistic
WWE SmackDown vs Raw 2008,Wii,Fighting,THQ,0.97,13-Nov-07,59.0,13.0,5.9,18.0,Yuke's
Sleepover Party,Wii,Misc,Ubisoft,0.04,,,,,,
Asura's Wrath,X360,Action,Capcom,0.18,21-Feb-12,71.0,54.0,6.4,101.0,CyberConnect2
WWE SmackDown vs. Raw 2009,Wii,Fighting,THQ,0.82,9-Nov-08,79.0,18.0,8.5,18.0,Yuke's
WWE SmackDown vs. Raw 2009,PSP,Fighting,THQ,0.74,9-Nov-08,72.0,9.0,6,7.0,Yuke's
Generator Rex: Agent of Providence,X360,Action,Activision,0.05,1-Nov-11,,,4.5,4.0,Virtuos
Endless Ocean: Blue World,Wii,Simulation,Nintendo,0.84,22-Feb-10,76.0,42.0,8.7,19.0,Arika
Blur,X360,Racing,Activision,0.55,25-May-10,82.0,78.0,8.4,145.0,Bizarre Creations
Risen 2: Dark Waters,X360,Role-Playing,Deep Silver,0.12,31-Jul-12,60.0,18.0,5.6,39.0,Piranha Bytes
Maximum Racing: Drag & Stock Racer,Wii,Racing,Nordic Games,0.03,,,,,,
The Outfit,X360,Action,THQ,0.24,13-Mar-06,70.0,52.0,7.5,43.0,Relic
SCORE International Baja 1000: The Official Game,X360,Racing,Activision,0.11,,,,,,
Power Pro Success Legends,PSP,Sports,Konami Digital Entertainment,0.06,,,,,,
Hatsune Miku: Project Diva Extend,PSP,Misc,Sega,0.33,,,,,,
Chevrolet Camaro: Wild Ride,Wii,Racing,Storm City Games,0.05,30-Oct-10,,,tbd,,CokeM Interactive
Disney Princess: Enchanted Journey,Wii,Adventure,Disney Interactive Studios,1.29,30-Oct-07,,,tbd,,Papaya Studios
Derby Time 2006,PSP,Sports,Sony Computer Entertainment,0.03,,,,,,
Shining Hearts,PSP,Role-Playing,Sega,0.2,,,,,,
Captain Morgane and the Golden Turtle,PS3,Adventure,Reef Entertainment,0.02,3-Feb-12,,,tbd,,Wizarbox
Gurumin: A Monstrous Adventure,PSP,Role-Playing,505 Games,0.01,12-Feb-07,78.0,41.0,7.6,16.0,Falcom
Enchanted Arms (JP sales),X360,Role-Playing,Ubisoft,0.02,,,,,,
Final Fantasy XIII,X360,Role-Playing,Square Enix,2.04,9-Mar-10,82.0,54.0,6.2,439.0,Square Enix
Pac-Man & Galaga Dimensions,3DS,Misc,Namco Bandai Games,0.16,,,,,,
Monster Hunter Tri,Wii,Role-Playing,Nintendo,2.15,20-Apr-10,84.0,70.0,8.8,181.0,Capcom
Final Fantasy XI: All-In-One Pack 2006,X360,Role-Playing,Square Enix,0.02,,,,,,
High Velocity Bowling,PS3,Sports,Sony Computer Entertainment,0.12,6-Dec-07,66.0,14.0,8.1,22.0,SCEA
XCOM,X360,Shooter,Take-Two Interactive,0.15,20-Aug-13,68.0,30.0,6.6,102.0,2K Marin
Big Beach Sports,Wii,Sports,THQ,1.64,24-Jun-08,44.0,17.0,8.1,39.0,HB Studios Multimedia
Balls of Fury,Wii,Sports,Zoo Digital Publishing,0.02,5-Oct-07,19.0,6.0,3,23.0,Black Lantern Studios
Scarface: The World is Yours,Wii,Adventure,Vivendi Games,0.13,12-Jun-07,71.0,23.0,8.6,25.0,Radical Entertainment
"What Did I Do to Deserve This, My Lord!? 2",PSP,Role-Playing,Nippon Ichi Software,0.22,,,,,,
Mass Effect Trilogy,PS3,Action,Electronic Arts,0.23,4-Dec-12,,,8.3,29.0,BioWare
Sonic Riders: Zero Gravity,Wii,Racing,Sega,0.84,8-Jan-08,56.0,26.0,7.8,38.0,Sonic Team
Espgaluda II Black Label,X360,Shooter,Cave,0.04,,,,,,
World Series of Poker,PSP,Misc,Activision,0.21,15-Sep-05,37.0,6.0,6.4,20.0,Activision
Rabbids Land,WiiU,Action,Ubisoft,0.01,18-Nov-12,52.0,26.0,4.4,17.0,Ubisoft Paris
Wall-E,Wii,Platform,THQ,1.0,24-Jun-08,51.0,18.0,3.3,7.0,Heavy Iron Studios
MLB 11: The Show,PS3,Sports,Sony Computer Entertainment,0.52,8-Mar-11,90.0,30.0,7.8,80.0,SCEA San Diego Studios
AquaPazza: AquaPlus Dream Match,PS3,Action,Aqua Plus,0.07,19-Nov-13,75.0,12.0,7.8,14.0,Examu
iCarly,Wii,Adventure,Activision,0.44,27-Oct-09,,,tbd,,Blitz Games
Battle vs. Chess,PS3,Misc,TopWare Interactive,0.03,TBA,,,,,TopWare Interactive
Obscure: The Aftermath,Wii,Adventure,Playlogic Game Factory,0.12,25-Mar-08,53.0,19.0,7.7,11.0,Hydravision
Naruto Shippuden: Clash of Ninja Revolution III,Wii,Fighting,Nintendo,0.49,17-Nov-09,74.0,23.0,8,15.0,8ing/Raizing
Lair,PS3,Action,Sony Computer Entertainment,0.48,30-Aug-07,53.0,55.0,6.4,212.0,"Factor 5, SCE/WWS"
Ouka Sengoku Portable,PSP,Adventure,Alchemist,0.01,,,,,,
Cabela's Alaskan Adventure,X360,Sports,Activision,0.11,19-Sep-06,48.0,11.0,5.5,13.0,FUN Labs
Hot Wheels: Beat That!,Wii,Racing,Activision,0.13,30-Sep-07,,,5.3,9.0,Eutechnyx
Bolt,Wii,Adventure,Disney Interactive Studios,0.56,18-Nov-08,50.0,4.0,tbd,,Avalanche Software
Tiger Woods PGA Tour 11,Wii,Sports,Electronic Arts,0.52,8-Jun-10,84.0,29.0,8.2,24.0,EA Sports
Unreal Tournament III,X360,Shooter,Midway Games,0.44,,,,,,
Football Manager 2007,X360,Sports,Sega,0.01,,,,,,
Spider-Man: Edge of Time,3DS,Action,Activision,0.09,4-Oct-11,50.0,7.0,5.7,9.0,Beenox
Atelier Ayesha: The Alchemist of the Land of Twilight,PS3,Action,Tecmo Koei,0.21,,,,,,
Harry Potter and the Deathly Hallows - Part 1,X360,Action,Electronic Arts,0.41,16-Nov-10,38.0,42.0,5.5,34.0,EA Bright Light
Elebits,Wii,Action,Konami Digital Entertainment,0.32,12-Dec-06,75.0,46.0,7.4,31.0,Konami
Tiger Woods PGA Tour 10,X360,Sports,Electronic Arts,0.63,8-Jun-09,80.0,51.0,7.1,18.0,EA Tiburon
The Sims 3,PS3,Simulation,Electronic Arts,1.16,26-Oct-10,78.0,39.0,6.4,33.0,The Sims Studio
The Sims 2: Pets,PSP,Simulation,Electronic Arts,0.78,14-Dec-06,57.0,9.0,7.8,9.0,Maxis
TMNT,X360,Action,Ubisoft,0.39,20-Mar-07,58.0,31.0,6.4,25.0,Ubisoft Montreal
Sony Computer Science Kenkyuujo Mogi Kenichirou Hakase Kanshuu: Nou ni Kaikan Aha Taiken!,PSP,Misc,Sega,0.07,,,,,,
DiRT 2,PS3,Racing,Codemasters,0.95,8-Sep-09,87.0,63.0,8,71.0,Codemasters
Rygar: The Battle of Argus,Wii,Action,Rising Star Games,0.09,28-Jan-09,52.0,29.0,tbd,,Tecmo
Need for Speed: ProStreet,PSP,Racing,Electronic Arts,0.76,18-Feb-08,57.0,14.0,6.9,17.0,EA Games
Gintama no Sugoroku,PSP,Action,Namco Bandai Games,0.06,,,,,,
Kidz Bop Dance Party! The Video Game,Wii,Misc,D3Publisher,0.21,,,,,,
Reel Fishing Paradise 3D,3DS,Sports,Marvelous Interactive,0.16,21-Jun-11,57.0,5.0,tbd,,Natsume
Dead or Alive: Dimensions,3DS,Fighting,Ubisoft Annecy,0.31,24-May-11,79.0,62.0,8.4,82.0,Team Ninja
NieR,PS3,Role-Playing,Square Enix,0.53,27-Apr-10,68.0,58.0,8.3,165.0,Cavia Inc.
Splatterhouse,X360,Action,Namco Bandai Games,0.16,23-Nov-10,62.0,51.0,7.6,49.0,Namco Bandai Games America
Challenge Me: Word Puzzles,Wii,Puzzle,O-Games,0.01,3-May-11,,,tbd,,O-Games
Need for Speed: The Run,3DS,Racing,Electronic Arts,0.15,15-Nov-11,65.0,9.0,5.7,23.0,Firebrand Games
The Godfather: Dons Edition,PS3,Action,Electronic Arts,0.27,,,,,,
Tony Hawk's American Wasteland,X360,Sports,Activision,0.3,16-Nov-05,75.0,43.0,7.1,19.0,Neversoft Entertainment
Exstetra,3DS,Role-Playing,FuRyu,0.01,,,,,,
Kane & Lynch: Dead Men,PS3,Shooter,Eidos Interactive,0.73,,,,,,
Bigfoot King of Crush,Wii,Racing,Zoo Games,0.02,31-May-11,,,tbd,,Zoo Games
Spider-Man: Edge of Time,Wii,Action,Activision,0.08,4-Oct-11,62.0,9.0,3,4.0,Beenox
Beyblade: Metal Fusion - Battle Fortress,Wii,Action,Konami Digital Entertainment,0.18,,,,,,
NBA 2K11,Wii,Sports,Take-Two Interactive,0.47,19-Oct-10,,,tbd,,Visual Concepts
Time Travelers,PSP,Adventure,Level 5,0.01,,,,,,
Let's Cheer,X360,Misc,Take-Two Interactive,0.1,7-Nov-11,,,tbd,,Cat Daddy Games
Professor Layton and the Mask of Miracle,3DS,Adventure,Nintendo,1.35,28-Oct-12,82.0,54.0,8.4,76.0,Level 5
Gods Eater Burst,PSP,Action,Namco Bandai Games,0.66,15-Mar-11,71.0,30.0,8.3,23.0,Bandai Namco Games
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,9.03,5-Nov-07,94.0,70.0,8.4,1089.0,Infinity Ward
Afrika,PS3,Adventure,Unknown,0.2,14-Oct-09,63.0,12.0,6.1,34.0,Rhino Studios
JU-ON: The Grudge,Wii,Adventure,Rising Star Games,0.09,13-Oct-09,39.0,32.0,6.5,23.0,FeelPlus
NCIS 3D,3DS,Adventure,Ubisoft,0.08,24-Aug-12,,,tbd,,Ubisoft
Pinball Hall of Fame: The Gottlieb Collection,Wii,Misc,System 3 Arcade Software,0.13,2-Dec-09,,,tbd,,Farsight Studios
Worms: Battle Islands,Wii,Strategy,THQ,0.19,23-Nov-10,58.0,13.0,tbd,,Team 17
Speed,Wii,Racing,Unknown,0.05,29-Apr-10,,,tbd,,Zoo Games
Crash Tag Team Racing,PSP,Racing,Vivendi Games,0.21,10-Nov-05,68.0,9.0,8.4,12.0,Radical Entertainment
Qubed,X360,Puzzle,Atari,0.07,15-Sep-09,,,tbd,,Q Entertainment
Grand Theft Auto: Episodes from Liberty City,X360,Adventure,Take-Two Interactive,2.39,29-Oct-09,,,8.2,33.0,Rockstar North
The Walking Dead: A Telltale Games Series,PS3,Adventure,Avanquest Software,0.52,11-Dec-12,94.0,6.0,8.7,376.0,Telltale Games
Angry Birds: Star Wars,XOne,Strategy,Activision,0.05,22-Nov-13,53.0,4.0,7.2,35.0,Rovio Mobile
Crash: Mind Over Mutant,X360,Platform,Vivendi Games,0.45,7-Oct-08,60.0,42.0,6.8,15.0,Radical Entertainment
UFC Undisputed 2010,PS3,Fighting,THQ,1.36,25-May-10,85.0,54.0,7.1,43.0,Yuke's
Wet,PS3,Shooter,Bethesda Softworks,0.58,15-Sep-09,70.0,61.0,6.2,41.0,Artificial Mind and Movement
Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,Racing,Unknown,0.02,,,,,,
Winter Stars,PS3,Sports,Deep Silver,0.05,9-Nov-11,53.0,6.0,tbd,,49Games
Lost: Via Domus,X360,Action,Ubisoft,0.56,26-Feb-08,55.0,50.0,6.5,52.0,Ubisoft Montreal
Muchi Muchi Pork & Pink Sweets,X360,Shooter,Cave,0.02,,,,,,
Kingdom of Paradise,PSP,Role-Playing,Sony Computer Entertainment,0.14,15-Nov-05,72.0,38.0,7.5,17.0,Climax Entertainment
Sengoku Efuda Yuugi: Hototogisu Ran,PSP,Misc,Irem Software Engineering,0.02,,,,,,
