area,perimetro,maior-eixo,menor-eixo,arredondamento,area-convexa,extensao,classe
11280,421.683013916016,170.830917358398,85.0552215576172,0.867239475250244,11510,0.6054750680923461,1
13860,484.77200317382795,200.77662658691398,88.84082794189449,0.896775484085083,14238,0.660881161689758,0
10513,410.035003662109,165.656600952148,82.5525360107422,0.8669843673706059,10789,0.7255348563194279,1
11898,453.98001098632795,195.360046386719,78.3691024780273,0.9160114526748661,12134,0.548042356967926,0
13422,474.954986572266,196.454254150391,88.85059356689449,0.8918805122375492,13817,0.5598098039627081,0
12084,433.505004882813,171.522613525391,91.3299560546875,0.8464514017105099,12356,0.701742172241211,1
15815,504.223999023438,214.654693603516,94.9879837036133,0.8967609405517579,16059,0.8097798228263859,0
15252,501.33200073242205,207.52404785156202,94.2730941772461,0.890861213207245,15595,0.59171324968338,0
9772,392.236999511719,164.40335083007798,76.1834335327148,0.886152684688568,9971,0.783389449119568,1
15290,500.18798828125,204.153366088867,96.6903305053711,0.8807314038276669,15605,0.788957715034485,0
13853,479.722991943359,193.401885986328,92.8598098754883,0.877192378044128,14338,0.586370348930359,0
13650,491.023986816406,210.67497253418,83.6909942626953,0.9177097082138058,14011,0.538589000701904,0
14626,502.356994628906,212.73469543457,88.5833892822266,0.909180104732513,14997,0.581504464149475,0
11489,447.236999511719,182.102127075195,82.1213760375977,0.892542481422424,11913,0.5594565868377691,1
15786,500.860992431641,205.467239379883,98.816650390625,0.8767555356025699,16127,0.610913336277008,0
10309,396.539001464844,161.233413696289,81.9371032714844,0.861245334148407,10478,0.7075497508049008,1
14911,494.088989257812,207.560241699219,92.4106063842774,0.895419716835022,15132,0.60476154088974,0
11678,423.67599487304705,173.41394042968798,86.46707153320308,0.86682265996933,11839,0.621104121208191,1
9212,384.596008300781,155.83996582031298,76.3069610595703,0.871919393539429,9453,0.659649133682251,1
11016,421.100006103516,173.156005859375,82.3268203735352,0.87974339723587,11302,0.781609177589417,1
13731,489.058013916016,212.435455322266,82.9146728515625,0.920685529708862,14014,0.5917259454727171,0
14958,505.256988525391,216.37629699707,88.34890747070308,0.912842690944672,15235,0.70860767364502,0
11299,429.43899536132795,174.441619873047,84.4233856201172,0.8750881552696229,11663,0.613376021385193,1
13045,446.006011962891,174.68977355957,96.4560165405274,0.833740770816803,13351,0.632791638374329,1
13289,467.315002441406,194.884185791016,87.81411743164058,0.8927277922630309,13628,0.695395052433014,0
14558,496.304992675781,204.360626220703,91.95660400390629,0.89304256439209,14908,0.569472670555115,0
9585,397.72000122070295,163.853118896484,75.4080581665039,0.887806236743927,9759,0.7263014316558841,1
11846,445.890991210938,192.952194213867,78.471794128418,0.9135660529136659,12010,0.5779664516448969,0
12861,471.920989990234,193.250915527344,86.45822143554692,0.894339740276337,13330,0.633421957492828,0
12837,448.274993896484,180.265243530273,92.1625137329102,0.8594257235527042,13157,0.7677631378173829,1
13672,467.954986572266,183.55632019043,97.4687271118164,0.847370684146881,14027,0.615855872631073,1
11490,421.1669921875,167.710113525391,88.5562744140625,0.849224627017975,11793,0.755424082279205,1
16291,523.1929931640631,223.252334594727,93.60415649414058,0.907859206199646,16595,0.5811572670936579,0
12590,447.53201293945295,180.024459838867,89.9745941162109,0.866146087646484,12875,0.669111371040344,1
10344,406.18899536132795,169.366653442383,78.96368408203129,0.8846639394760129,10533,0.7174365520477299,1
12317,432.30099487304705,174.630920410156,90.6389312744141,0.854755163192749,12506,0.6380212306976321,1
15061,497.359008789063,207.650421142578,93.05584716796879,0.8939648866653441,15327,0.7167809009551999,0
17198,520.992004394531,209.97021484375,105.670585632324,0.8641323447227479,17586,0.606160998344421,0
13315,476.203002929688,205.188613891602,83.06101989746091,0.914403796195984,13510,0.551574170589447,0
11297,418.953002929688,172.967422485352,84.433464050293,0.8727616667747501,11482,0.6229390501976011,1
11719,430.51199340820295,175.51745605468798,86.510009765625,0.870094180107117,12000,0.699307799339294,1
13467,478.247009277344,204.718505859375,85.1457138061523,0.9094030261039731,13732,0.547773003578186,0
11332,427.32400512695295,175.540557861328,83.6084518432617,0.879287481307983,11563,0.595418214797974,1
14363,499.170989990234,210.245544433594,88.1117782592773,0.907944738864899,14669,0.606853127479553,0
16022,524.872985839844,221.527053833008,93.63528442382808,0.906278491020203,16545,0.542236387729645,0
12840,454.40499877929705,184.815185546875,89.92162322998051,0.8736533522605899,13185,0.7266553640365601,1
11720,425.450012207031,171.58801269531298,88.36038208007808,0.857216238975525,11912,0.7792035341262821,1
16608,516.091979980469,207.67137145996102,103.350875854492,0.867369055747986,17111,0.696761190891266,0
12209,445.889007568359,184.875732421875,85.0214080810547,0.887978971004486,12418,0.6173956990241999,1
10380,399.05300903320295,161.873672485352,82.765022277832,0.859405934810638,10606,0.68596351146698,1
15609,492.662994384766,202.230163574219,99.0120468139648,0.871946752071381,15884,0.6810209155082699,0
11422,425.128997802734,176.65686035156298,82.9521560668945,0.882897078990936,11608,0.650900363922119,1
9962,408.721008300781,165.83377075195298,78.4938659667969,0.880885899066925,10231,0.6186808943748471,1
16059,522.7239990234381,217.850143432617,95.1538848876953,0.8995654582977299,16675,0.68845921754837,0
16258,533.341003417969,229.112991333008,91.1201324462891,0.917511940002441,16705,0.57081663608551,0
9592,385.778015136719,157.767959594727,78.3910903930664,0.867821633815765,9760,0.788426756858826,1
14954,501.856994628906,212.03776550293,90.79552459716801,0.903681874275208,15225,0.8146211504936222,0
11635,449.308990478516,197.570648193359,75.2581405639648,0.9246090054512021,11842,0.521889269351959,1
14407,482.795989990234,202.832336425781,91.19192504882808,0.893233716487885,14671,0.7426288723945621,0
11337,433.97799682617205,184.348114013672,78.8676986694336,0.9038642644882199,11506,0.65660834312439,1
15323,487.86599731445295,192.23083496093702,102.96282958984399,0.844458639621735,15769,0.713693499565125,0
14421,489.817993164063,204.956832885742,90.3416900634766,0.897613167762756,14716,0.6252601742744449,0
10731,414.174987792969,170.210098266602,81.1989440917969,0.8788754940032959,10922,0.59320068359375,1
9908,432.76901245117205,188.187683105469,67.69534301757811,0.9330593347549442,10205,0.6116804480552671,0
10824,416.41500854492205,170.878219604492,81.7323989868164,0.8781922459602359,11046,0.590507388114929,1
13397,474.864990234375,200.54626464843702,86.39673614501949,0.902444064617157,13762,0.6940371990203861,0
12162,454.776000976563,191.120803833008,82.3174285888672,0.90249091386795,12493,0.745220601558685,0
14477,499.47000122070295,217.10546875,85.7921676635742,0.918610811233521,14726,0.5755118131637571,0
11584,434.739013671875,180.84742736816398,82.1837463378906,0.890778958797455,11863,0.681732594966888,1
11274,422.662994384766,174.386337280273,82.8780822753906,0.8798477649688721,11459,0.740541279315949,1
13088,450.210998535156,184.750198364258,91.2462539672852,0.8695244193077091,13266,0.7992183566093449,1
11366,431.93600463867205,179.071258544922,81.9375534057617,0.889173865318298,11737,0.6063483357429499,1
10015,402.455993652344,159.72668457031298,81.8776092529297,0.858621120452881,10408,0.606969714164734,1
11889,428.69699096679705,173.63134765625,88.4395904541016,0.860557854175568,12113,0.610945522785187,1
13693,479.47900390625,200.39729309082,88.1744613647461,0.8979986310005191,14097,0.6952525973320011,0
12569,454.10400390625,192.091720581055,83.93650817871091,0.8994806408882141,12811,0.566783905029297,1
13418,474.901000976563,194.545700073242,89.7083053588867,0.8873394131660458,13973,0.604305505752564,0
15475,511.796997070313,220.47692871093798,90.2072296142578,0.91246896982193,15734,0.827318906784058,0
11139,419.447998046875,172.125579833984,83.78206634521491,0.873541533946991,11442,0.62889564037323,1
11231,427.6669921875,183.587097167969,78.8617324829102,0.903038144111633,11427,0.721184074878693,1
10463,417.356994628906,177.176116943359,76.04583740234379,0.903204500675201,10681,0.5832218527793879,1
11297,416.679992675781,165.35920715332,88.2367477416992,0.8457328677177429,11535,0.629289209842682,1
12347,475.390014648437,207.096923828125,77.0804443359375,0.9281545281410221,12857,0.5209484696388239,0
11902,454.941986083984,196.469299316406,78.0516662597656,0.917701065540314,12214,0.700777173042297,1
8505,359.100006103516,147.798889160156,73.8086853027344,0.866379678249359,8651,0.677257537841797,1
11386,450.119995117188,195.46043395996102,75.842887878418,0.921650230884552,11612,0.512859761714935,0
11128,423.236999511719,173.39533996582,82.44134521484371,0.8797410726547241,11372,0.599149286746979,1
12382,453.049987792969,187.106994628906,85.7300796508789,0.8888555765151981,12771,0.613456189632416,1
14146,504.35598754882795,214.062881469727,85.7449645996094,0.916270673274994,14716,0.6252651810646059,0
17192,528.341979980469,222.94993591308602,99.0926742553711,0.8957979083061222,17457,0.6289142370224,0
12391,437.618988037109,175.367233276367,90.81942749023442,0.855452418327332,12600,0.6347848176956179,1
15557,514.5369873046881,214.075119018555,93.8538970947266,0.898772299289703,15942,0.695564687252045,0
